NFL '26 Survey — By Country (Col M),,,,,,,,,,,,,
Breakdown: Tidy Country,,,,,,,,,,,,,
Question,Response,Total N,Global Average %,Australia %,Brazil %,DACH %,France %,Italy %,Japan %,Mexico %,RoW %,Spain %,United Kingdom %
How would you rate NFL Game Pass on DAZN for the following aspects? - Picture/stream quali,Average,3619,19.80%,23.70%,9.30%,22.20%,12.30%,23.60%,30.90%,13.20%,16.00%,17.50%,21.30%
,Don't know / Not applicable,114,0.60%,0.70%,0.90%,0.50%,0.50%,0.30%,0.80%,0.50%,0.80%,1.00%,0.30%
,Excellent,4594,25.20%,17.00%,45.70%,18.60%,31.00%,22.90%,13.10%,41.50%,30.40%,23.30%,22.30%
,Good,8059,44.20%,41.40%,37.30%,48.40%,50.10%,41.90%,36.60%,37.40%,45.20%,49.00%,47.10%
,Poor,1267,6.90%,9.00%,5.00%,7.60%,4.40%,7.30%,13.40%,4.90%,4.90%,5.80%,6.00%
,Very Poor,590,3.20%,8.10%,1.80%,2.70%,1.80%,3.90%,5.10%,2.60%,2.60%,3.30%,3.00%
,Base (answered),18243,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
How would you rate NFL Game Pass on DAZN for the following aspects? - Audio/sound quality,Average,3810,20.90%,21.90%,11.40%,21.70%,9.40%,23.20%,39.60%,16.10%,15.50%,17.50%,21.80%
,Don't know / Not applicable,186,1.00%,0.80%,1.10%,0.90%,0.60%,0.70%,2.40%,0.30%,1.20%,1.00%,0.70%
,Excellent,4239,23.20%,19.70%,38.90%,16.40%,29.40%,23.10%,11.00%,37.10%,29.10%,21.30%,21.00%
,Good,8924,48.90%,47.30%,44.50%,55.10%,57.20%,48.20%,39.30%,40.00%,49.00%,54.10%,51.70%
,Poor,743,4.10%,5.80%,3.00%,4.30%,2.10%,3.10%,6.40%,4.00%,3.30%,4.10%,3.30%
,Very Poor,341,1.90%,4.50%,1.10%,1.60%,1.30%,1.60%,1.20%,2.60%,2.00%,2.10%,1.40%
,Base (answered),18243,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
How would you rate NFL Game Pass on DAZN for the following aspects? - Quality of the help ,Average,3542,19.40%,17.00%,11.60%,20.00%,12.60%,26.30%,29.20%,19.90%,15.50%,20.80%,15.10%
,Don't know / Not applicable,7878,43.20%,46.80%,52.50%,48.50%,51.20%,39.80%,38.00%,25.60%,47.90%,31.50%,53.50%
,Excellent,972,5.30%,2.80%,11.10%,2.40%,6.30%,3.80%,2.50%,14.30%,6.60%,3.90%,2.70%
,Good,2743,15.00%,10.80%,13.60%,13.80%,17.10%,15.10%,6.40%,24.80%,15.00%,21.90%,11.80%
,Poor,1579,8.70%,10.40%,5.70%,8.00%,6.90%,8.30%,12.60%,7.20%,7.30%,11.30%,8.90%
,Very Poor,1529,8.40%,12.20%,5.50%,7.20%,5.80%,6.70%,11.40%,8.20%,7.80%,10.60%,8.00%
,Base (answered),18243,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
How would you rate NFL Game Pass on DAZN for the following aspects? - Quality of event/mat,Average,2885,15.80%,14.30%,16.10%,15.60%,10.50%,11.80%,28.70%,18.40%,11.10%,17.20%,11.40%
,Don't know / Not applicable,1058,5.80%,3.50%,4.50%,9.40%,4.00%,6.80%,7.30%,3.00%,5.40%,4.50%,2.40%
,Excellent,5142,28.20%,26.00%,34.50%,24.10%,39.70%,34.10%,13.30%,31.30%,34.90%,22.50%,33.30%
,Good,7807,42.80%,51.10%,37.70%,44.20%,42.30%,40.80%,35.00%,37.10%,45.50%,40.10%,51.30%
,Poor,809,4.40%,2.40%,5.00%,3.70%,2.10%,4.30%,11.30%,5.70%,1.80%,7.80%,1.20%
,Very Poor,542,3.00%,2.70%,2.00%,3.10%,1.30%,2.20%,4.40%,4.50%,1.20%,7.90%,0.40%
,Base (answered),18243,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
How would you rate NFL Game Pass on DAZN for the following aspects? - Advertising,Average,5581,30.60%,33.10%,28.40%,28.10%,22.00%,35.20%,43.80%,25.90%,29.30%,29.80%,30.30%
,Don't know / Not applicable,1945,10.70%,15.90%,9.80%,6.60%,11.00%,9.30%,13.10%,3.20%,16.70%,13.00%,11.00%
,Excellent,1063,5.80%,5.30%,11.10%,2.80%,6.60%,5.90%,5.00%,10.60%,7.90%,3.40%,3.90%
,Good,3277,18.00%,18.80%,25.20%,14.00%,17.00%,17.80%,11.40%,24.10%,21.50%,20.50%,15.80%
